1, 4, 1, 		1.1466,		0.7342, 0.4802, -0.4800, 0.1325, -0.6257, 0.7687, 0.5599, 0.4426, -0.7005, 		0.7090, 0.2910, 0.0000, 
1, 5, 1, 		0.5510,		-0.2260, 0.0753, 0.9712, 0.3539, -0.1241, 0.9270, 0.7922, -0.5724, -0.2113, 		0.4559, 0.3604, 0.1837, 
1, 5, 1, 		0.9888,		0.0134, -0.0112, 0.9998, 0.7968, -0.5414, -0.2684, -0.3153, -0.4797, -0.8188, 		0.7376, 0.2624, 0.0000, 
1, 5, 1, 		0.5509,		-0.2262, 0.0773, 0.9710, 0.3511, -0.1267, 0.9277, 0.7923, -0.5727, -0.2105, 		0.4537, 0.3627, 0.1836, 
1, 5, 1, 		1.0908,		-0.0948, 0.0511, -0.9942, -0.6359, 0.3575, 0.6840, -0.3023, -0.1058, 0.9473, 		0.7113, 0.2887, 0.0000, 
1, 5, 1, 		0.9887,		0.0127, -0.0107, 0.9999, -0.7983, 0.5373, 0.2722, -0.3600, 0.0645, -0.9307, 		0.7379, 0.2621, 0.0000, 
1, 6, 1, 		0.6933,		0.4661, 0.5783, 0.6696, 0.4009, 0.3931, -0.8275, 0.6215, -0.7770, 0.0999, 		0.4337, 0.3829, 0.1834, 
1, 6, 1, 		0.6736,		0.4727, 0.5776, 0.6656, -0.3730, -0.4442, 0.8146, -0.7890, 0.5078, 0.3457, 		0.4288, 0.3797, 0.1915, 
1, 6, 1, 		0.6931,		0.4673, 0.5772, 0.6697, -0.3993, -0.3958, 0.8270, 0.6264, -0.7760, 0.0736, 		0.4334, 0.3840, 0.1826, 
1, 6, 1, 		0.9670,		0.4640, 0.5839, 0.6662, -0.3955, -0.4076, 0.8231, -0.3750, 0.8873, 0.2685, 		0.5215, 0.4785, 0.0000, 
1, 6, 1, 		0.6932,		0.4676, 0.5763, 0.6703, 0.4015, 0.3950, -0.8263, -0.6266, 0.7754, -0.0776, 		0.4333, 0.3840, 0.1828, 
1, 7, 1, 		0.6259,		0.2774, 0.0063, 0.9607, 0.9096, 0.2480, -0.3334, 0.0905, 0.8295, 0.5511, 		0.4300, 0.4091, 0.1609, 
1, 7, 1, 		0.6260,		0.2749, 0.0075, 0.9614, 0.9098, 0.2474, -0.3333, 0.0920, 0.8300, 0.5501, 		0.4299, 0.4093, 0.1609, 
1, 7, 1, 		0.8211,		0.2476, 0.0650, 0.9667, -0.9119, -0.2573, 0.3198, -0.8885, -0.3581, -0.2870, 		0.5204, 0.4796, 0.0000, 
1, 7, 1, 		0.5100,		0.9024, 0.2626, -0.3415, 0.0086, 0.0651, 0.9978, 0.6918, 0.1450, 0.7074, 		0.3899, 0.3472, 0.2629, 
1, 7, 1, 		0.8211,		0.2485, 0.0662, 0.9664, 0.9121, 0.2580, -0.3186, -0.8098, 0.3488, -0.4718, 		0.5200, 0.4800, 0.0000, 
1, 8, 1, 		0.7391,		0.7245, 0.5665, -0.3927, -0.2130, -0.1687, 0.9624, 0.7299, -0.6822, -0.0426, 		0.4730, 0.3733, 0.1537, 
1, 8, 1, 		1.4676,		0.5978, 0.4878, -0.6362, -0.7469, 0.6631, 0.0489, -0.5857, -0.7926, 0.1694, 		0.7361, 0.2639, 0.0000, 
1, 8, 1, 		0.9223,		-0.7473, -0.5471, 0.3771, -0.2089, -0.1656, 0.9638, 0.3096, -0.1033, -0.9452, 		0.5515, 0.4485, 0.0000, 
1, 8, 1, 		0.9223,		0.7470, 0.5477, -0.3769, -0.2107, -0.1674, 0.9631, 0.5539, -0.8123, 0.1827, 		0.5512, 0.4488, 0.0000, 
1, 8, 1, 		1.4676,		0.5964, 0.4873, -0.6379, -0.7451, 0.6647, 0.0543, 0.4642, -0.2750, -0.8419, 		0.7368, 0.2632, 0.0000, 
1, 9, 1, 		1.0590,		0.2756, 0.8306, -0.4840, -0.1401, -0.9057, -0.4000, -0.3036, 0.9450, -0.1220, 		0.5869, 0.4131, 0.0000, 
1, 9, 1, 		0.7845,		-0.2586, -0.8443, 0.4694, 0.3149, 0.8619, 0.3975, -0.7367, 0.5508, 0.3922, 		0.5033, 0.3178, 0.1789, 
1, 9, 1, 		0.7065,		0.3397, 0.8640, -0.3717, 0.0377, 0.9201, 0.3899, -0.1287, 0.3025, -0.9444, 		0.4675, 0.3115, 0.2210, 
1, 9, 1, 		0.7065,		0.3388, 0.8664, -0.3668, 0.0366, 0.9173, 0.3964, 0.1210, -0.3069, 0.9440, 		0.4688, 0.3092, 0.2220, 
1, 9, 1, 		0.7844,		-0.2599, -0.8444, 0.4684, 0.3056, 0.8635, 0.4011, 0.7418, -0.5424, -0.3943, 		0.5046, 0.3180, 0.1775, 
1, 10, 1, 		0.9241,		0.3330, -0.8449, -0.4187, 0.0798, -0.0791, 0.9937, -0.6952, 0.3238, 0.6418, 		0.5338, 0.4662, 0.0000, 
1, 10, 1, 		0.9241,		0.3407, -0.8460, -0.4102, 0.0814, -0.0726, 0.9940, -0.8380, -0.1248, 0.5313, 		0.5327, 0.4673, 0.0000, 
1, 10, 1, 		0.9241,		0.3352, -0.8446, -0.4174, -0.0795, 0.0784, -0.9937, -0.7958, 0.0837, 0.5997, 		0.5339, 0.4661, 0.0000, 
1, 10, 1, 		0.7197,		0.3755, -0.8148, -0.4417, 0.1091, -0.0058, 0.9940, 0.2448, 0.8933, -0.3769, 		0.4272, 0.3736, 0.1992, 
1, 10, 1, 		0.9241,		0.3397, -0.8462, -0.4106, 0.0827, -0.0685, 0.9942, -0.8172, 0.2363, 0.5256, 		0.5330, 0.4670, 0.0000, 
